Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
797,Red Sunset' maple,Acer rubrum 'Franksred',Sapindaceae,Deciduous tree,"40-50 ft. tall, 30-40 ft. wide","Full, partial","Rich, moist but well-drained",Acidic to slightly acidic (4.5 to 6.5),Spring,"Red on the female, yellow on the male (not showy)",3-9 (USDA),Nursery cultivar; Acer rubrum is native to North America,
798,"Red tip photinia, Fraser photinia",Photinia x fraseri,Rosaceae,Shrub,10-15 ft. tall and wide,"Full, partial","Loamy, well-drained","Slightly acidic, neutral (6.0 to 7.5)",Spring,White,7-9 (USDA),Asia,
799,,"Cornus servicea,Cornus alba, orCornus sanguinea",Cornaceae,Deciduous flowering shrub,"6-9 feet tall, 8-12 feet wide",Full sun to part shade,"Fertile, moist soil",5.5 to 6.6 (slightly acidic),Spring,White,3-8 (USDA),North America,
800,"Resurrection lily, surprise lily, magic lily, naked lady",Lycoris squamigera,Amaryllidaceae,"Perennial, bulb","1.5 to 2 ft. tall, 1.5 to 2 ft. wide",Full sun to partial shade,"Well-drained, sandy, loamy",Neutral to acidic (6.5),Summer,"White, rose pink with a hint of lilac",5 to 9,Asia,
801,"Resurrection plant, resurrection moss, dinosaur plant, stone flower",Selaginella lepidophylla,,"Cold-tender, perennial",2 in. tall,"Full, partial",None needed; grows best in pebbles and water,Alkaline (7.6-9.0),Doesn't flower (sporophyte),Doesn't flower (sporophyte),10,"Mexico, southwestern United States",
802,"Dwarf Iris, Netted Iris, Reticulated Iris",Iris reticulata,Iridaceae,"Perennial, bulb","4-6 in. tall, 4 in. wide","Full, Partial","Loamy, Sandy, Well-drained","Neutral, Alkaline",Spring,"Purple, Blue","5-9, USA","Europe, Asia, Middle East","Toxic to people, toxic to pets"
803,Rex begonia,Begonia rex-cultorum,Begoniaceae,Herbaceous perennial,"12-18 in. tall, similar spread",Part shade to full shade,Porous,5.7-6.2 (more acidic),Not grown for flowers,Not grown for flowers,10-12 (USDA),"Northeastern India, southern China, and Vietnam",Toxic to animals
804,Rhubarb,Rheum rhabarbarum or Rheum×hybridum,Polygonaceae,"Vegetable, perennial",,"Full sun, partial sun","Moist, well-drained","Acidic, neutral (6.0-7.0)","Spring, summer",,3-8 (USDA),Asia,"Toxic to people, toxic to pets"
805,Ribbon Grass,Phalaris arundinacea var. 'Picta'.,,Perennial ornamental grass,Up to 3 ft. tall,Full sun/partial shade,Tolerant of a variety of soils,Tolerates a variety,Summer,"Green, but but insignificant","4 to 9, USA",Europe and North America,
806,"River birch, water birch, black bird, red birch",Betula nigra,,Deciduous tree,"40-70 feet tall, 40-60 feet in spread; dwarf cultivars are also available",Full sun to part shade,"Damp, consistently moist soil",5.0 to 6.5 (acidic),Spring (flowers are indistinct),"Brown, green",4 to 9 (USDA),"Swamplands, floodplains of Eastern U.S.",
807,"Robellini palm, pygmy date palm, miniature date palm",Phoenix roebelenii,,Tree,"6-12 ft. tall, 5-10 ft. wide","Full sun, partial sun",Moist but well-drained,"Acidic, neutral, alkaline",Spring,Creamy white,"9a, 9b, 10a, 10b, 11a, 11b",Asia,
808,,Juniperusscopulorum,Cupressaceae,"Tree,shrub","3 to 30 ft. tall,spread of 3-15 ft.","Full, Partial",Sandy,Neutral,,,"4, 5, 6, 7, 8, 9",,
809,Rose,Rosa spp.,,Deciduous shrub,6 inches to 20 feet in height and width,Full sun,"Loamy, well drained",Slightly acidic to neutral (6.5 to 6.8),"Spring, summer, fall","White, red, pink, yellow, orange","2 to 11, depending on type; USDA","Europe, Asia, North America",
810,Rosemary,Salvia rosmarinus,Lamiaceae,"Herb, perennial",,Full sun,"Sandy, loamy, well-drained","Acidic, neutral (6.0 to 7.0)","Spring, summer",,8-10 (USDA),Mediterranean,
811,,,,,,,,,,,,,
812,"Royal poinciana,peacock flower, gold mohair, royal flame tree,Arbol de Fuego, Gulmohar,flame tree",Delonix regia,,Flowering tree,20-40 ft. tall,Full,"Well-drained clay, loamy, sandy, or gravelly",4.9-10.6,Summer,"Red, orange",10-12 (USDA),Madagascar,Toxic to dogs and cats
813,"Rubber plant, rubber tree",Ficus elastica,,Evergreen tree,"50-100 ft. tall (outdoors), 50-100 ft. wide (outdoors)",Partial shade,Moist but well-drained,Acidic,Rarely blooms,Rarely blooms,,Asia,Toxic to dogs and cats
814,Ruby Slippers hydrangea,Hydrangea quercifolia 'Ruby Slippers',,Deciduous flowering shrub,"Three to four feet height, three to five feet width",Full sun to part shade,Loamy,5 to 6.0,Summer,White gradually turning pale pink then ruby red,5-9 (USDA),(of the species) Southeastern US from Georgia to Florida to Louisiana,
815,Rugosa rose,Rosa rugosa,,Deciduous shrub,4 to 8 feet tall and 4 to 6 feet wide,Full sun to part shade,"Rich, well-drained",5.6 to 6.5,Late spring to early summer,"Pink, red, lavender, white",2 to 7,"Eastern Russia, Korea, Japan, northern China",
816,"Butcher's broom, horse tongue lily",,,Evergreen,3 feet tall,Partial to full shade,"Well-drained, slightly acidic",,,,,"Africa, Asia, Europe, Eurasia",
817,Russian sage,Perovskia atriplicifolia,,Perennial flowering sub-shrub,3 to 5 feet tall and 2 to 4 feet wide,Full sun,"Medium to dry, well-drained",7 to 9,Summer,Blue,5 to 9,Central Asia,
818,"Rutabaga, Swedish turnip, swede",Brassica napus(Napobrassica Group),,Root vegetable,"12 to 24 inches tall, 9 to 12 inches wide",Full sun,"Loamy, well-drained",Slightly acidic to neutral (6.0 to 6.5),Rarely flowers,Yellow,3 to 9,Europe,
819,Saffron Crocus,Artemisia dracunculus (Sativa subspecies),,Perennial herb,24 inches,Part Sun/Part Shade,"Sandy, well-drained",Neutral (6.5 to 7.5),Summer,Light green leaves,4 and above,Temperate Europe and Asia,
820,"Sagebrush buttercup, crowfoots",,,Perennial,3 to 4 inches,Full sun,"Good drainage, tolerant of most soils, likes moisture",6.0 to 7.5,Early spring,Yellow,USDA 2 to 6,"Northwestern US, western Canada","Toxic to people, toxic to animals"
821,"Sago palm, king sago, cycad, Japanese sago",Cycas revoluta,Cycadaceae,Perennial shrub,3-10 feet tall and wide,"Full, partial","Sandy, moist, but well-draining soil",Acidic (5.5-6.5),Nonflowering,Nonflowering,9-10 (USDA); grown as houseplants in all zones,Asia,Toxic to humans and pets
822,,,Solanaceae (nightshade),Annual vegetable plant,,Full sun,"Organic, well-draining",Acidicto Neutral,Summer,,"5-10, USA",Europe,Plant is toxic; fruit is non-toxic
823,,Sassafras albium,Lauraceae,Tree,"30 to 60 ft. tall, 25 to 40 ft. wide","Full sun, part shade","Loamy, sandy, moist, well-drained",Neutral to acidic (6.0 to 7.0),Spring,Greenish-yellow,"4-9, USA",Eastern North America,
824,"Satin flower, farewell-to-spring","Clarkia amoena; formerly, Godetia amoena",,Annual,"2 to 2.5 feet tall, with a spread of up to one foot",Full sun to partial shade,"Average to low fertility needs, average to low moisture levels, well-drained",Neutral,June to July,"Lavender, pink, red, salmon, or white",3 to 10,West Coast of North America,
825,"Satin pothos, silk pothos, silver pothos, silver philodendron",Scindapsus pictus,,Perennial vine,Four to ten feet length,Bright indirect light indoors,Potting soil mix,6.1 to 6.5,Summer,Inconspicuous,"10-12, USA",Southeast Asia,Toxic to pets
826,"Satsuma, satsuma mandarin, unshu mikan, cold hardy mandarin",Citrus unshiu,,Tree,Up to 20 ft. tall,Full sun,"Rich, moist","Acidic, neutral",Spring,White,8-11 (USDA),China,
827,Saucer magnolia,Magnolia x soulangiana,,"Tree, shrub",20 to 25 ft. tall and wide,"Full, partial",Moist but well-drained,Acidic to neutral,Spring,"Pink, white",,Asia,
828,"Scallion, green onion, spring onion, bunching onion",Allium fistulosum,Amaryllidaceae,"Perennial, bulb",,Full sun,"Sandy, loamy, well-drained",Acidic to neutral (6.0 to 7.0),Spring,,6-9 (USDA),Asia,Toxic to pets
829,,,,Tree,50 to 70 ft. Tall40 to 50 ft. Wide,Full Sun,"average, dry to medium, well-drained soil",Acidic,April to May,Yellow to Green,,,
830,"Schefflera, umbrella plant, umbrella tree",Schefflera spp.,Araliaceae,Broadleaf evergreen,"4 to 6 feet. tall, 3 to 6 feet wide (indoors); up to 25 feet tall (outdoors)","Bright, indirect light",Rich and moderately moist,Slightly acidic (6.0-6.5),Summer (outdoors),"White, pink, or red (indoor plants rarely bloom)",10-12 (USDA),Taiwan,"Mildly toxic humans, toxic to pets"
831,"Scotch moss, Scottish moss, moss sandwort",Arenaria verna,Caryophyllaceae,"Herbaceous, evergreen, perennial","1-2 in. tall, 8-10 in. wide","Full, partial","Rich, well-drained",Acidic to neutral (5.6 to 7.5),Late spring to early summer,White,4-8 (USDA),Europe,
832,"Sea holly, blue sea holly, star thistle",,Apiaceae,Herbaceous perennial,"2-3 ft. tall, 1-2 ft. wide",Full,"Sandy, well-drained",Slightly acidic to slightly alkaline (6.1-.7.8),"Summer, fall","Violet blue, silver blue",5-9 (USDA),"Southeastern Europe, central Asia",
833,,,Crassulaceae,"Herbaceous, perennial",1.5-2 ft. tall and wide,Full,"Sandy, well-drained","Acidic, neutral, alkaline","Summer, fall","Pink, red","3, 4, 5, 6, 7, 8, 9","Europe, Asia",
834,"Sensitive plant, sleepy plant, action plant, touch-me-not plant, dormilones, zombie plant, shy lady, shy plant",Mimosa pudica,Fabaceae,"Creeping herbaceous shrub, perennial",18 in. tall,"Full, partial","Well-draining, loamy",Acidic to neutral (5.0-7.5),Summer,"Purple, pink","9-11, USA","South America, Central America","Toxic to people, toxic to pets"
835,Serbian spruce,Picea omorika,Pinaceae (Pine),"Coniferous, needled, evergreen tree",40 to 60 feet; commonly 100 feet in the wild,Full sun to partial shade,Well-drained,Not fussy about soil pH; can be grown with a soil pH ranging from 5.6 to 9,,,"4b to 7a, USDA",Balkans,
836,Serrano pepper,Capsicum annuum 'Serrano',Solanaceae,"Perennial, vegetable",,Full sun,"Loamy, moist, well-drained","Acidic, neutral (5.5 to 7)","Summer, Fall",,9-11 (USDA),Central America,
837,Sesame,,,Tropical,3-4 feet,Full sun,"Medium texture, well-drained","Neutral, sweet (no salt)",Summer,"White, purple, blue",10 and above,"Sub-Saharan and North Africa, India",
838,"Shallot, French shallot, gray shallot","Allium cepa var. aggregatum (formerly, Allium ascalonicum)",Amaryllidaceae,"Biennial, bulb",,"Full sun, partial sun","Loamy, well-drained",Neutral to acidic (5.0 to 7.0),Spring,,4-10 (USDA),Uncertain; likely southwest Asia,Toxic to pets
839,"Purple shamrock, false shamrock, love plant, shamrock, wood sorrel, oxalis, black oxalis",Oxalis triangularis (synonymous with Oxalis regnellii),Oxalidaceae,Perennial,"0.5-1 ft. tall, 1-2 ft. wide",,"Loamy, sandy, well-drained",Acidic,"Spring, fall, winter","White, pink, lavender","8-11, USA",South America,"Toxic to people, toxic to pets"
840,"Tiger Jaws, shark jaws",Faucaria tigrina,,Perennial succulent,"Up to 6 inches tall, 6 inches wide",Full sun; tolerates some shade,Well draining cactus/succulent mix,6.6 to 7.5 (slightly acidic to slightly alkaline),"Fall, early winter",Yellow,9-11 (USDA),South Africa,
841,Shasta daisy,Leucanthemum × superbum,Asteraceae,Perennial,"9 in.-3 ft. tall, 1-2 ft. wide","Full, partial","Loamy, moist but well-drained",Neutral,"Spring, summer",White,"5-9, USA",North America,Toxic to pets
842,Shingle Oak,Quercusimbricaria,,,"40 to 60 ft. wide, 40 to 60 ft. tall",Full Sun,Hummus loamswith good drainage,Neutral to slightly alkaline,April,Yellowish-green,"4-8, USA",,
843,"Shooting star, eastern shooting star, prairie pointers",Dodecatheon meadia or Primula meadia,Primulaceae,"Herbaceous, perennial","9-20 in. tall, 9-12 in. wide",Partial,Rocky or sandy loam,Slightly acidic (6.0 to 6.8),Late spring,"White, pink, purple",4-8 (USDA),Central and Eastern North America,
844,,Cypripedium reginae,,Orchid,,,,,,,,,
845,,Sedum,,"Perennial, annual","6-24 in. tall, 12-24 in. wide","Full, partial","Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Red, pink, yellow, white",3-10 (USDA),North America,
846,"Silk Tree, Pink Silk Tree, Persian Silk Tree",Albiziajulibrissin,Fabaceae,,"20-40 ft. tall, 20-50 ft. wide","Full, partial",Moist but well-drained,"Acidic, neutral, alkaline",Summer,Pink,"6, 7, 8, 9",,Seed pods may be toxic if ingested
847,Silky Dogwood,Cornus amomum,,,"6 to 12 feet tall, 6 to 12 feet wide.","Part Shade , Shade","Loamy, Moist , Wet",7-May,"March, April",White,8-May,,
848,,,,Deciduous tree,"50- 80 ft. tall, 40-60 ft. wide","Full sun, part shade","Moist, well-drained soil, Wet soil",4.5 to 7.5,Early Spring,Inconspicuous,USDA 3a-9a,Eastern United States,
849,,Acer saccharinum,Sapindaceae,Deciduous tree,50 to 100 ft. tall,Full to partial sun,"Sandy, loamy","Acidic, neutral, slightly alkaline",,,"3 to 9, USDA",Eastern North America,
850,Silver squill,Ledebouria socialis,,Perennial,6-10 inches tall,Indirect sun,"Rich, well-drained",8-Jun,Spring,"Pink stems, green flowers",11-Oct,South Africa,Toxic to people and pets
851,,,,,,,,,,,,,
852,Sky plant,Tillandsia ionantha,,"Perennial, succulent",Up to 6 in. tall,Partial,,,Fall,"Purple, red, pink",9-11 (USDA),Central and South America,
853,"Slipper plant, lady slipper",Euphorbia lomelii,,Perennial,"3-6 ft. tall, 2-3 ft. wide",Full,"Sandy, Well-drained","Acidic, Neutral, Alkaline","Spring, Summer, Fall","Red, Orange, Yellow","9-11, USA",Central America,Toxic to pets
854,,Cotinus coggygria,Anacardiaceae,Deciduous shrub,"10-15 ft. high, similar spread",Full sun,"Prefers well-drained, loamy soil",Tolerates both acidic and alkaline soils,Late spring to mid-summer,Yellow,4-9 (USDA),Southern Europe to central China,Mildly toxic to humans
855,"Smooth hydrangea, Wild hydrangea",Hydrangea arborescens,Hydrangeaceae,"Deciduous, Shrub",3 -10 ft. tall,Partial shade,Well-drained,"Acid, Neutral, Alkaline",Summer,White,"3-9, USA",Eastern USA,Toxic to people and pets
856,"Snail vine, snail flowers, shell flowers, corkscrew vine",Cochliasanthus caracalla(formerly Vigna caracalla),,,15 to 20 feet,Partial to full sun,Well drained fertile soil,Slightly acidic to neutral,Midsummer to early autumn,"white buds, pale pink to lavender flowers",USDA 9 to 11,Central and South America,
857,"Snake plant, viper's bowstring hemp, St. George's sword",Dracaena trifasciata (formerly Sansevieria trifasciata),,,,,,,,,,,
858,,Actaea,Ranunculaceae,"Herbaceous, perennial",2-4 ft. tall (7 ft. tall with flowers),"Partial, shade",Well-drained,Neutral,"Summer, fall","White, lavender",4a-8a,North America,
859,"Snapdragon, dog's mouth, lion's mouth, toad's mouth",Antirrhinum majus,Plantaginaceae,Herbaceous perennial (usually grown as an annual),"6-48 in. wide (depends on variety), 6-12 in. across","Full sun, part shade","Rich, moist, well-draining",6.2-7.0 (slightly acidic to neutral),Spring to fall; may slow down in mid-summer,"White,yellow,pink,red,orange,peach, purple,violet",7-11 (USDA); grown as annuals everywhere,"Mediterranean Europe, Syria, Turkey",
860,,Maurandyascandens or Asrina scandens,Plantaginaceae,Vine,"6-9 ft. long, 3-6 ft. wide","Full sun, partial shade","Rich, well-drained loam",Neutral to acidic,"Spring, summer","Pink, blue, lavender, violet, white","9-10, USDA",Mexico and Central America,
861,"Sneezeweed, Helen's Flower",Helenium autumnale,,Perennial flower,2-5 feet tall,Full sun,"Moist, well-draining",5.5 to 7.0,"Late summer, Fall","Yellow, gold, orange, coppery brown, red",3-8 (USDA),North America,
862,Snow banana,Ensete glaucum,Musaceae,Perennial,Up to 15 ft. tall,"Full, partial",Well-drained,"Acidic, neutral, alkaline",Summer,"Green, white",9b-11,Asia,
863,"Snow-in-summer, silver carpet,mouse ear,chickweed",Cerastium tomentosum,Caryophyllaceae,Herbaceous perennial,"6-2 in. tall, 9-12 in. wide",Full sun,"Loamy, sandy, well-drained",Slightly acidic to neutral (6.0 to 7.0),June,White,3-8 (USDA),Southeastern Europe,
864,"Snowball bush viburnum, fragrant snowball, European cranberrybush",Viburnum x carlcephalum,Adoxaceae,Deciduous shrub,"6-12 ft. tall, 6-10 ft. wide","Full sun, partial shade","Average, well-drained",Moderately acidic to slightly alkaline (5.5 to 8.0),Spring,"White, light pink",6-8 (USDA),Nursery hybrid,
865,"Soapwort, common soapwort, bouncing-bet",Saponaria officinalis,,Herbaceous perennial,"1-3 ft. tall, 1-2 ft. wide","Full sun, partial shade","Dry to medium moisture, well-drained",Neutral to acidic,"Summer, early fall","Pink, white",3-9 (USDA),"Europe, Asia","Toxic to humans, dogs, and cats"
866,,Tulbaghia violacea,,Tuberous blooming perennial,,,,,,,,,
867,Song of India,Dracaena reflexa,,,"18 - 20ft outdoors, 3ft plus as a houseplant",Indirect Sun indoors/Partial Shade outdoors,"Rich, well draining.",Neutral,"Winter, but rarely blooms as a house plant",White,"11-12, USA",,Toxic to dogs and cats
868,"Sorrel, garden sorrel, French sorrel, sorrel dock, sour dock, sour leek, spinach dock","Rumex acestosa (Garden sorrel), Rumex scutatus (French sorrel)",Polygonaceae,Herbaceous perennial,"12-18 in. tall, 18-24 in. wide",Full sun,"Rich, well-drained",Acidic (5.5 to 6.8),Summer,"Green, turning to red",5-7 (USDA),"Europe, Asia",Toxic to dogs and cats
869,"Desert spoon, sotol, common sotol, spoon yucca, spoon flower, blue sotol",Dasylirion wheeleri,Asparagaceae,"Perennial, evergreen, shrub","4-6 ft. tall, 3-4 ft. wide",Full,"Sandy, well-drained","Neutral, acidic","Spring, summer","Yellow, purplish-pink","8-11, USA",North America,
870,Sourwood,Oxydendrum arboreum,,Deciduous tree,"20-25 ft. tall, 10-25 ft. wide","Full sun, part shade, shade","Moist, organically rich, well-drained",Acidic,June-July,White,USDA 5-9,Eastern and southern United States,
871,,Magnolia grandiflora,Magnoliaceae,"Perennial, Tree","60-80 ft. tall, 20 - 40 ft. wide","Full sun, Partial Shade","Moist, Well-drained","Acid, Neutral, Alkaline","Spring, Summer","White, Cream",,Southeastern United States,
872,Spanish bluebell,Hyacinthoides hispanica,Asparagaceae,Bulb,7-16 in. tall,"Full, partial",Moist but well-drained,"Neutral, acidic, alkaline",Varies by zone,"Blue, purple, white, pink","3, 4, 5, 6, 7, 8",Europe,Toxic to humans and animals
873,"Spanish lavender, butterfly lavender, bract lavender",Lavendula stoechas,Lamiaceae,"Perennial, shrub, herb","18-36 in. tall, 18-36 in. wide",Full,"Sandy, moist but well-drained","Acidic, neutral","Spring, summer","Pink, purple, white","8a-9b, USDA","Europe, Africa, Mediterranean",Toxic to pets
874,Mentha spicata,Spearmint,,,18-36 inches,Full Sun- Part Shade,"Well-draining, rich, moistsoil",Neutral,Summer,Lavender,"Zones4 - 10, USA",,
875,"Spicebush, northern spicebush, Benjaminbush",Lindera benzoin,,Deciduous shrub,6-12 feet tall,Full sun to partial sun,"Moist, well-draining",5.0-8.0,Early spring,Yellow,9-Apr,,
876,"Cleomes, spider flower, Rocky Mountain bee plant, stinking clover",Cleome,Cleomaceae,Annual,1.5 to 5 feet tall and 1 to 2 feet wide,"Full sun, part sun","Average, well-drained",Acidic to neutral,Summer,"White, pink, lavender, rose","10, 11",South America,
877,"Spider lily, surprise lily, magic lily, resurrection lily, naked lily, hurricane lily",Lycoris,,,,"Full sun, partial sun",Well-draining,Alkaline,"Late summer, fall","White, yellow, red, pink, blue, purple",6 to 9 (USDA),China & Japan,Toxic to cats and dogs
878,"Spider mum, Fuji mum",Chrysanthemum x morifolium (or C. morifolium),Asteraceae,Herbaceous perennial (sometimes grown as annuals),"1-3 ft. tall, 1-2 ft. wide","Full, partial","Humus-rich, well-drained",Slightly acidic (5.8 to 6.5),Late summer to fall,"Yellow, pink, red, white, purple, bicolors",5-9 (USDA),Nursery hybrid; parents species probably natives of Eastern Asia,
879,"Spiderwort, inch plant",Tradescantia,Commelinaceae,Herbaceous perennial,N/A (vining species),"Full sun, partial shade",Moist but well-drained,Neutral to acidic,Year-round,"White, purple, pink",4b to 12a,"Mexico, South America, Caribbean",Some types mildly toxic to humans and animals
880,"Veronica, spiked speedwell, speedwell",Veronica spicata,,Herbaceous perennial,"6 in. to 3 ft. tall, 6 in. to 2 ft. wide (depending on variety)",Full sun,Well-drained,Neutral,Summer,"Purplish-blue, pink, white",3 to 8,"Europe, Asia",
881,Spinacia oleracea,Spinach,Amaranthaceae,"Annual, vegetable",,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral, alkaline (6.5 to 8)",Summer,,2-11 (USDA),"North America, Central America, South America, Asia",
882,"Spineless yucca, stick yucca, giant yucca",Yucca elephantipes,,Evergreen,"15 to 30 ft. tall outdoors, and 5 ft. tall indoors",Full sun,"Sandy, well-draining","Acidic, neutral, or alkaline",Spring and summer,White,USDA Zones 9 to 11,Mexico,"Toxic to cats, dogs, and horses"
883,Spiral aloe,Aloe polyphylla,,Succulent,"12 in. tall, 24 in. wide","Full, partial","Sandy, well-drained",Acidic,"Spring, summer","Pink, orange","7a, 7b, 8a, 8b, 9a, 9b",Africa,"Toxic to dogs, toxic to cats"
884,,Costus woodsonii,Costaceae,"Perennial, herbaceous, rhizome","3-6 ft. tall, 2-3 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,Summer,Red-orange,9-11 (USDA),Central America,
885,Spiraea,Spiraea spp.,Rosaceae,,1-20 ft. tall (depending on species),Full,"Loamy, well-draining",Neutral,"Spring, summer",Varies (depending on species),"4, 5, 6, 7, 8",,
886,,Monstera deliciosa,Araceae,Climbing evergreen,"3 ft. tall, 2-3 ft. spread","Bright indirect sunlight, partial shade","Peat-based potting soil, well-drained",Acid or neutral,Mid-summer,Cream/tan,10-12 (USDA),Central America,Toxic to cats and dogs
887,Squirrel corn,Dicentra canadensis,Papaveraceae,Herbaceous perennial,6-12 in. tall and wide,Partial to full shade,"Rich, moist but well-drained",Acidic to neutral (5.5 to 6.5),Spring,Pinkish-white,3-7 (USDA),"Eastern, central North America","Toxic to humans, animals"
888,,Ecballium elaterium,,,,,,,,,,,
889,,Stenotaphrum secundatum,Poaceae,"Herbaceous, perennial grass",6 to 12 in. tall,Full sun to partial shade,Well-drained,6 to 7.5,,,,,
890,"Staghorn fern, elkhorn fern",Platycerium bifurcatum,,Fern,"2-3 ft. tall, 2-3 ft. wide",Partial shade,Epiphytic,,Non-flowering,Non-flowering,9-12 (USDA),"Asia, Australia",
891,,Astrophytum spp.,,Cactus,2 inches to 6 feet (varies by species),Full sun,"Coarse, sandy soil; cactus potting mix",7.0 to 8.0 (neutral to slightly alkaline),Varies by species,Yellow,9 to 11 (USDA),"Mexico, portions of Southwest U.S.",
892,Starfruit,Averrhoa carambola,,Fruit tree,Up to 30 feet (dwarf trees reach 3 feet),Full sun,"Loam, moist, good drainage",Slightly acidic,Summer,Pale purple,9 to 11 (USDA),Southeast Asia,"Toxic to dogs, toxic to cats"
893,"Stargazer lily, stargazer",Lilium 'Stargazer',Liliaceae,Perennial bulb,"4 ft. tall, 1 ft. spread",Full sun,"Loamy, moist, well-draining",Slightly acidic (6.3 to 6.8),Summer,"Pink to crimson, with white edges and dark spots, white and orange",4-9 (USDA),,Toxic to cats
894,Stewartstonian azalea,Rhododendron 'Stewartstonian' (Gable hybrids),,Broadleafevergreen shrub,"4 to 5 feet tall, similar spread",Full sun to part shade,"Fertile, evenly moist, well-drained soil",5.0 to 5.5 (acidic),April or May,Orange-red,5 to 8 (USDA),Hybrid plant; original parents are probably species from Korea and Japan,
895,"Stinging nettle, common nettle, burning grass",Urtica dioic,Urticaceae,Herbaceous perennial,"3-7 ft. tall, 1-3 ft. wide","Full, partial","Rich, moist",Acidic to alkaline (5.0 to 8.0),Summer,Greenish white,4 through 10 (USDA),"Europe and Asia, but now naturalized everywhere","Mildly toxic to humans, pets"
896,"Strawberry, garden strawberry",Fragaria x ananassa,,Fruiting perennial,"4 to 12 inches tall, 6 to 24 inches wide",Full sun,"Loamy, rich, well-drained soil",Acidic (5.8 to 6.2),"Late spring, early summer",White,4 to 9 (USDA),Europe,
897,"Strawberry begonia, creeping saxifrage, strawberry geranium",Saxifraga stolonifera,,Herbaceous perennial,"6-18 in. tall, 12-24 in. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Late spring, early summer",White,6-9 (USDA),Asia,
898,"Strawflower, golden everlasting",Xerochrysum bracteatum,Asteraceae,Herbaceous perennial usually grown as an annual,"2 to 3 ft. tall, 6 to 18 in. wide",Full sun to partial shade,Any well-drained soil,Slightly acidic (5.5 to 6.5),"Spring, summer, fall","Yellow, orange, red, white, pink",,Australia,
899,"Common bean, green bean, French bean, snap bean, string bean",Phaseolus vulgaris,Fabaceae,"Annual, vegetable",,Full sun,"Loamy, moist, well-drained",Acidic (6.0 to 6.2),"Spring, summer",,2-11 (USDA),"South America, Central America","Toxic to people, toxic to pets (when raw)"
900,String of Buttons,Crassula perforata,,, Grows to 18 inches tall,Full to Partial Sun,"Well Drained, loamy, Sand",Adaptable,Spring,Yellow,12-Sep,,
901,,,,,,,,,,,,,
902,"String of hearts, Rosary vine, Chain of hearts, Chinese lantern",Ceropegia woodii,,"Succulent, Vine, Evergreen","2-5 cm. tall, 2 - 4 m. wide spread",Partial Sun,"Well-drained, Fertile","Acidic, Neutral","Summer, Fall",White to a pale purplish-red,"9 - 12, USA",Southern Africa,
903,"String of nickels, button orchid",Dischidia nummularia,,Succulent,"12-18 in. long, 15-24 in. spread","Partial sun, partial shade",Well-drained,"Neutral, alkaline","Spring, summer","Yellow, white",10a to 11b,"India, Asia, Australia",
904,"String of pearls, string of beads, string of peas, rosary vine",Curio rowleyanus (formerly Senecio rowleyanus),Asteraceae,Succulent,"1-2 ft. tall, 1-2 ft. long","Full, partial","Sandy, well-drained",Neutral to acidic,Summer,White,9-12 (USDA),Africa,"Toxic to humans, toxic to pets"
905,String of Turtles,Peperomia prostrata,Piperaceae,,"12 in. long, 3-4 in. wide","Bright, indirect light","Loamy, moist",Neutral to acidic,,,"10 to 12, USA",,
906,Stromanthe triostar,Stromanthe sanguinea,,Tropical perennial,2-3 ft.,Part sun,"Light, well-draining soil","Not too particular, but generally between 6.0 to 8.0","Rarely blooms, but if it does, it will be between March and April",White,10-12 (USDA),Amazon jungle in South America,
907,,Senecio spp.,,Perennial succulents,Varies by species,Full sun to part shade,Sandy soil,6.0 to 7.0 (fairly neutral),Varies by species; bloom period is usually about 1 month,Varies by species,9 to 12 (most species),Most succulent species are native to South Africa,Toxic to animals
908,Sugar Cane,Saccharum officinarum,,Perennial,"Up to 6m tall, 1.5m wide","Full Sun, Partial Shade","Loam, Sand, Clay","Acid, Neutral, Alkaline",Spring,White,"8 - 12, USA",Southeast Asia,
909,Summer shandy hops,Humulus lupulus'Sumner',,"Herbaceous, perennial vine",10 ft. long by 2 ft. (or less) wide,"Full sun, partial sun","Moderately fertile, well-drained, and with medium moisture",Neutral to alkaline,September to October,Light green,5-8 (USDA),"Europe, Southwest Asia, and North America",Toxic to pets
910,"Japanese false cypress, Sawara false cypress, gold mops, golden mops false cypress, sun gold, king's gold",Chamaecyparis pisifera,Cupressaceae,"Shrub, tree",6 to 8 feet tall,"Full sun, partial sun","Clay, silt, loam","Neutral, acidic, alkaline",,,4 through 8,Japan,
911,Sunburst honey locust,,Fabaceae,Deciduous tree,"30 to 40 ft. tall, up to 40-ft. wide",Full sun,Tolerates most soil types,Tolerates all pH levels,Late spring to early summer (inconspicuous),,"4-9, USA",North America,
912,"Sundew, Cape Sundew",,,Tropical perennial,8 to 10 inches,Partial to full sun,"Moist, acidic, boggy, sandy",Acidic,Spring,White to pale pink,USDA 9 and above,Australia,
